nr,bereich,title,path,lines,bytes,sha256,origin,status
11,"Versionierung, Entwicklung & Editoren",GitLab – Premium-Spickzettel,02-Versionierung-Entwicklung/GitLab-Premium-Spickzettel.md,436,10068,020e840917f29660145a9e8e01ac9ceb0d8c41a8a4917a7971f7a156bdb23d55,,fertig
12,"Versionierung, Entwicklung & Editoren","Make, Source-Builds und Buildsysteme – Premium-Spickzettel",02-Versionierung-Entwicklung/Make-und-Source-Builds-Premium-Spickzettel.md,488,9571,a1ecec643407a550375160ed7eb87731d676a3366eb555580e19c1cfc542569c,,fertig
13,"Versionierung, Entwicklung & Editoren",Neovim – Konfiguration und Plugins,02-Versionierung-Entwicklung/Neovim-Konfiguration-und-Plugins-Premium-Spickzettel.md,550,12127,6435ba684c2bd81db7f0ab25bc343ad079f4b32fd4442afd3ad980085add9398,,fertig
14,"Versionierung, Entwicklung & Editoren","Neovim – LSP, Diagnostics, Formatting und Debugging",02-Versionierung-Entwicklung/Neovim-LSP-Debugging-Premium-Spickzettel.md,469,11399,f0fe0bec409af681f01aa1fd075cdfe9fd819ce898e1eddf1cac7f5f67d0b101,,fertig
15,"Versionierung, Entwicklung & Editoren",Neovim – Premium-Spickzettel,02-Versionierung-Entwicklung/Neovim-Premium-Spickzettel.md,749,13419,20cb3b6160ef8b194551a60c4cb3828312ceacf22d333fcecf29ad9d7e675460,,fertig
16,"Versionierung, Entwicklung & Editoren","Neovim – Shortcuts, Bewegungen und Textobjekte",02-Versionierung-Entwicklung/Neovim-Shortcuts-und-Bewegungen.md,506,9903,5aba184b135ea9d7f6d23073b177a9daec3410a45ae84f7dddd198397fcff550,,fertig
17,"Versionierung, Entwicklung & Editoren",Python 3 – Premium-Spickzettel,02-Versionierung-Entwicklung/Python-3-Premium-Spickzettel.md,672,13927,82f8603b8dc44c9fb4d906e046e3553afbd8bffe86db8f44140a57fc26c6c70a,,fertig
18,"Versionierung, Entwicklung & Editoren",Ruby on Rails – Premium-Spickzettel,02-Versionierung-Entwicklung/Ruby-on-Rails-Premium-Spickzettel.md,510,11189,2461592b4591b2c5580396b79ab38f73d1b7a6253a3f62aef32eaa5f7829204c,,fertig
19,"Versionierung, Entwicklung & Editoren",Rust – Premium-Spickzettel,02-Versionierung-Entwicklung/Rust-Premium-Spickzettel.md,759,14572,c3e5125d2eb1ba8b68407d631c89059247f9661c1815df2aa0895629745ea2fc,,fertig
20,"Linux-, Unix- & Paketverwaltung",APT – Premium-Spickzettel,03-Linux-Administration/apt-Premium-Spickzettel.md,354,7524,f868eb2edfdd3b96bf67d64167ca8e680469bb3a9f3dd915a504acf95db590e8,,fertig
21,"Linux-, Unix- & Paketverwaltung",Chocolatey – Premium-Spickzettel,03-Linux-Administration/Chocolatey-Premium-Spickzettel.md,325,7986,0c2728f15f15df5e8b4ec9cbed6576a23d7d437597ad44b95e2d07489a9120f6,,fertig
22,"Linux-, Unix- & Paketverwaltung",Cinnamon – Premium-Spickzettel,03-Linux-Administration/Cinnamon-Premium-Spickzettel.md,360,7578,208b80ef156d28530e09ffb8983738cffb4b1177026b5fa4b7975cc6fd04452d,,fertig
23,"Linux-, Unix- & Paketverwaltung",Dateikompression unter Linux – Premium-Spickzettel,03-Linux-Administration/Dateikompression-unter-Linux-Premium-Spickzettel.md,426,8734,6c66b2b44f4848c9d222a0869ccfe675e036540bc37b839053ef5258ccc9176e,,fertig
24,"Linux-, Unix- & Paketverwaltung",dmesg – Premium-Spickzettel,03-Linux-Administration/dmesg-Premium-Spickzettel.md,281,6482,5b70743e3d4c53bb92b026ed403406c00f60fffd79b63f61d0a307f820ea728e,,fertig
25,"Linux-, Unix- & Paketverwaltung",DNF – Premium-Spickzettel,03-Linux-Administration/dnf-Premium-Spickzettel.md,385,7650,cb42dac34ba3fb469d4c0c1dcf173dc559bb9714b75826c910efc324174dd82d,,fertig
26,"Linux-, Unix- & Paketverwaltung",fdisk und Partitionierung – Premium-Spickzettel,03-Linux-Administration/fdisk-Premium-Spickzettel.md,401,8785,970c9d175ae5a7623f430e40023ef1cb341c5ca72a1bec044bdc9011654ddc00,,fertig
27,"Linux-, Unix- & Paketverwaltung",Fedora und RHEL – Eigenheiten und Premium-Spickzettel,03-Linux-Administration/Fedora-RHEL-Premium-Spickzettel.md,521,12702,567854d875e340e86d1206b9d152cf97e387e5395a78c826df65841ed613b50c,,fertig
28,"Linux-, Unix- & Paketverwaltung",Fedora/RHEL – Shortcuts und Kommandos,03-Linux-Administration/Fedora-RHEL-Shortcuts-und-Kommandos.md,299,4986,024880c71a2cbae74f2d4ae5c27b6463bd007c35802d25f113f7f0a38cb1967a,,fertig
29,"Linux-, Unix- & Paketverwaltung",firewalld – Premium-Spickzettel,03-Linux-Administration/firewalld-Premium-Spickzettel.md,394,9501,02586c9ecb785e3e44a116fd22b7e70401e4a0afadb37bc48cd107aab7a893d8,,fertig
30,"Linux-, Unix- & Paketverwaltung",FreeBSD pkg – Premium-Spickzettel,03-Linux-Administration/FreeBSD-pkg-Premium-Spickzettel.md,304,5841,8598b71341c2c7b80c0a1df76fd8150de0b92deebcdab659dad81bd7ca18876e,,fertig
31,"Linux-, Unix- & Paketverwaltung",GNU Screen – Premium-Spickzettel,03-Linux-Administration/GNU-Screen-Premium-Spickzettel.md,632,12168,fa855d2c15713de2eb09015445f9d84bf42ca230c08a927d15fef9e3db266845,Premium Spickzettel I – vollständig überarbeitet,fertig
32,"Linux-, Unix- & Paketverwaltung",grep – Premium-Spickzettel,03-Linux-Administration/grep-Premium-Spickzettel.md,309,7732,61acbe3ab82e7938176a60a97809bcfad362cab4d43200cb010cd85a14c6567d,,fertig
33,"Linux-, Unix- & Paketverwaltung",Linux Benutzer- und Gruppenmanagement – Premium-Spickzettel,03-Linux-Administration/Linux-Benutzer-und-Gruppenmanagement-Premium-Spickzettel.md,477,9387,2beea5683667bf6bc6efea5ce469fd51c42deca3e6ae4e15c07bfe3f2be0df4a,,fertig
34,"Linux-, Unix- & Paketverwaltung",ls-Familie und Hardwareinventar – Premium-Spickzettel,03-Linux-Administration/ls-Familie-und-Hardwareinventar-Premium-Spickzettel.md,379,6850,be9be3f23585087013e960e2a39f234b4eed4437c5ab67f0a7d2b58b00c10c8e,,fertig
35,"Linux-, Unix- & Paketverwaltung",Manpages – Premium-Spickzettel,03-Linux-Administration/Manpages-Premium-Spickzettel.md,319,6074,a143ff5ab74f0c921c38ad63903e9e1f2ad0529f717aa13684063237ed629c99,,fertig
36,"Linux-, Unix- & Paketverwaltung",Paketmanager – Vergleich und Premium-Spickzettel,03-Linux-Administration/Paketmanager-Premium-Spickzettel.md,277,8183,365f888f7813e1e3014095225ece57139524fba4f585866301406c23f2414515,,fertig
37,"Linux-, Unix- & Paketverwaltung",POSIX ACL – getfacl und setfacl Premium-Spickzettel,03-Linux-Administration/POSIX-ACL-Premium-Spickzettel.md,394,8045,38387c8dd17804e5800fc54353670637e88f9a0064e636054df6a629a005308c,,fertig
38,"Linux-, Unix- & Paketverwaltung",RPM – Premium-Spickzettel,03-Linux-Administration/RPM-Premium-Spickzettel.md,379,7064,9052c58ed4441506c331b695fd02926230de02ee626a6b7979ffe97625a217ef,,fertig
39,"Linux-, Unix- & Paketverwaltung",rsync – Premium-Spickzettel,03-Linux-Administration/rsync-Premium-Spickzettel.md,472,9977,ef706035a50cff771dc5cb8fdce68dfe26f15d326f7fd65aaead9f5441535cf4,,fertig
40,"Linux-, Unix- & Paketverwaltung",SELinux – Premium-Spickzettel,03-Linux-Administration/SELinux-Premium-Spickzettel.md,426,8878,069d41d3ccaa7d22205f698e94b9a1f3b90d08b0496ea9b81c2b8c223830d736,,fertig
41,"Linux-, Unix- & Paketverwaltung",SSH – Premium-Spickzettel,03-Linux-Administration/SSH-Premium-Spickzettel.md,616,12679,e45927e25a852aa77019ae37036b55a64bd2494ec98e5aa6291734883f30a4ba,,fertig
42,"Linux-, Unix- & Paketverwaltung",systemd – Premium-Spickzettel,03-Linux-Administration/Systemd-Premium-Spickzettel.md,511,10708,1bf5466d47ed7cd38388db5c4b7b9b344503c898b6622adc197314a5a5053eaa,,fertig
43,"Linux-, Unix- & Paketverwaltung",X11 – Premium-Spickzettel,03-Linux-Administration/X11-Premium-Spickzettel.md,351,6858,257be634345361ee94266dee863e2e0d25768f7d99bb2203e9b9d9b4b9b1ea86,,fertig
44,"Linux-, Unix- & Paketverwaltung","Zeitmanagement unter Linux – timedatectl, NTP und RTC",03-Linux-Administration/Timemanagement-unter-Linux-Premium-Spickzettel.md,403,8183,e9669e248c9bdca1dbc01540474d36099f517cae741887cac6da25efb7f9b970,,fertig
45,Webserver,Apache HTTP Server – Premium-Spickzettel,04-Webserver/Apache-HTTP-Server-Premium-Spickzettel.md,635,13287,82bb2bccd0c2f15d3c92c2f4e6de4cb5303bb909fba8180d12951a0d6079d49c,,fertig
46,Webserver,nginx – Premium-Spickzettel,04-Webserver/nginx-Premium-Spickzettel.md,703,15021,95fe0868e56ea5ccdd65d0747acf7e7d5ce6d866c3010429f126629340d876bc,,fertig
47,Netzwerk & Firewalls,BSD-Netzwerk – Premium-Spickzettel,05-Netzwerk-Sicherheit/BSD-Netzwerk-Premium-Spickzettel.md,554,8756,b677eafde8a58d180a36ed4d0f4698f137d99dda02d929b7a5ef0b326211a054,,fertig
48,Netzwerk & Firewalls,Linux-Netzwerk – Premium-Spickzettel,05-Netzwerk-Sicherheit/Linux-Netzwerk-Premium-Spickzettel.md,835,15965,aa45bf0b3e6a8f08634fdc0072c19f924e8e3e5e68a7eb8152b3456705a66bc5,,fertig
49,Netzwerk & Firewalls,Netzwerk-Konfiguration – Premium-Spickzettel,05-Netzwerk-Sicherheit/Netzwerk-Konfiguration-Premium-Spickzettel.md,308,8710,5f7baf5f12a5cc531754286900c87ef47752d617748ccfb61187c511753f0ef1,,fertig
50,Netzwerk & Firewalls,Netzwerk-Stacktypen – Premium-Spickzettel,05-Netzwerk-Sicherheit/Netzwerk-Stacktypen-Premium-Spickzettel.md,285,7593,e100b9546aaa5c4f5cfc7ef7fcbccd1c04279644f7f9ad1c51bf47e8325107eb,,fertig
51,Netzwerk & Firewalls,OPNsense – Premium-Spickzettel,05-Netzwerk-Sicherheit/OPNsense-Premium-Spickzettel.md,583,12749,576f6aa9bc33f0a3ba55eb36cdee8c56c80bd82d43385489c1fe18572cdfdb0c,,fertig
52,Netzwerk & Firewalls,pfSense – Premium-Spickzettel,05-Netzwerk-Sicherheit/pfSense-Premium-Spickzettel.md,595,13451,2453681841f6ffc6f23dfd651a9eba18d6bf1db8eea2f9e0e8e4640591ca0717,,fertig
53,Netzwerk & Firewalls,Windows-Netzwerk – Premium-Spickzettel,05-Netzwerk-Sicherheit/Windows-Netzwerk-Premium-Spickzettel.md,567,11461,ecfbf6818e8ab3ccecfa3c5ee4d9578e4f5da10b1062c1da278de780ddbeb71a,,fertig
54,Netzwerk & Firewalls,Wireshark – Premium-Spickzettel,05-Netzwerk-Sicherheit/Wireshark-Premium-Spickzettel.md,841,17695,ab9c7c070a9e11d7934432cc0146dddf90d268964ba9f40926cf037ee2420427,,fertig
55,"Storage, Dateisysteme & Synchronisation",Btrfs – Premium-Spickzettel,06-Storage-Sync/Btrfs-Premium-Spickzettel.md,536,11036,5bba6f546b3031f55dbc57e4d8d602a5ab9e5ff8b2e61fb482e0d0e7a504ac5f,,fertig
56,"Storage, Dateisysteme & Synchronisation",Dateisysteme – Premium-Spickzettel,06-Storage-Sync/Dateisysteme-Premium-Spickzettel.md,407,10849,0c2dfc971733497f81ae736d786d0dea982b8f54e0023b5f8b5f6fc69b7b73f1,,fertig
57,"Storage, Dateisysteme & Synchronisation",ext4 – Premium-Spickzettel,06-Storage-Sync/ext4-Premium-Spickzettel.md,383,7634,9903e1795a7282c298e13d96015fff95ac91e04c542298ef6913b27a62531280,,fertig
58,"Storage, Dateisysteme & Synchronisation",rclone – Premium-Spickzettel,06-Storage-Sync/rclone-Premium-Spickzettel.md,832,17137,cae4e9d3c3cb0f735639aa75513d9086e0a2d52b42d601466c53fb0db38b7e7f,,fertig
59,"Storage, Dateisysteme & Synchronisation",Syncthing – Premium-Spickzettel,06-Storage-Sync/Syncthing-Premium-Spickzettel.md,560,14910,f66d11a7515ebc3d65c133219a91aa90ea4761ca871202b5b9450663c27fdab4,,fertig
60,"Storage, Dateisysteme & Synchronisation",TrueNAS – Premium-Spickzettel,06-Storage-Sync/TrueNAS-Premium-Spickzettel.md,713,19326,3daa9828b430f2f350e34cf5a7255205de4c537f86e4012a16a6be5db83912c5,,fertig
61,"Storage, Dateisysteme & Synchronisation",Weitere Dateisysteme – Premium-Spickzettel,06-Storage-Sync/Weitere-Dateisysteme-Premium-Spickzettel.md,352,7241,405631f2b895418a72fe13b45623e930833bbae704d624b478b1f27c23551cba,,fertig
62,"Storage, Dateisysteme & Synchronisation",XFS – Premium-Spickzettel,06-Storage-Sync/XFS-Premium-Spickzettel.md,410,7982,3077793c2c35000cc3de6918a713397c8e0bd0180b0fda9f5ad7a11175e5ab38,,fertig
63,"Storage, Dateisysteme & Synchronisation",ZFS – Premium-Spickzettel,06-Storage-Sync/ZFS-Premium-Spickzettel.md,743,15233,70aa04d2853d8b31462866fef4ae16c67c9354ba2568120ca31a075a2621ea67,,fertig
64,Android,Haven – Android SSH Client – Premium-Spickzettel,07-Android/Haven-Android-SSH-Client-Premium-Spickzettel.md,594,15511,fb90ab62152502567f47f60c207359d2a4d4f9f6fa2b3b359c2e7e9e214e7df3,,fertig
65,Android,Magisk – Premium-Spickzettel,07-Android/Magisk-Premium-Spickzettel.md,607,16972,ecc6b81ac3c2e11c41f0b517f0872bdc832ffba7433cb0fa4501f1fd45432f03,,fertig
66,Android,Termux – Premium-Spickzettel,07-Android/Termux-Premium-Spickzettel.md,821,17426,2337fedc2338e60fe58091307fbc503f8963b2ba49f58e78cae76f41dd657e03,Premium Spickzettel I – vollständig überarbeitet,fertig
67,Android,USB-Debugging und ADB – Premium-Spickzettel,07-Android/USB-Debugging-und-ADB-Premium-Spickzettel.md,718,15029,69439e90b36f6e2e113e9e28c1bed22738e63261c80a9ae0d6a16f3b4481f717,,fertig
68,Künstliche Intelligenz,Anthropic Claude – Premium-Spickzettel,08-KI/Claude-Premium-Spickzettel.md,610,16655,7e795311396ca3d4f36aec5df36ed71f3ccfed034dbf7e3d9404899d547ed80d,,fertig
69,Künstliche Intelligenz,Google Gemini – Premium-Spickzettel,08-KI/Gemini-Premium-Spickzettel.md,510,14927,90b99fd7c4705e9d40adb8e08654ff8e97872a135a9946e0e463efdbe24fca76,,fertig
70,Künstliche Intelligenz,KI-Flottenmanagement – Premium-Spickzettel,08-KI/KI-Flottenmanagement-Premium-Spickzettel.md,701,16321,c50884446340dc6606ad1163b849c487607551d6be1f4dc27df7987fb359d546,,fertig
71,Künstliche Intelligenz,KI-Prompts – Premium-Spickzettel,08-KI/KI-Prompts-Premium-Spickzettel.md,703,17293,9083f2e4b8633337a3e47d9ab534ec107a3d0e1df3e6c6f0b8839f6d8bee1eca,,fertig
72,Künstliche Intelligenz,KI-Token sparen – Premium-Spickzettel,08-KI/KI-Token-sparen-Premium-Spickzettel.md,596,14082,dc778d28767f850a2e166713c489715e62e77569b0266aa1a25340c81f7103b0,,fertig
73,Künstliche Intelligenz,OpenAI Codex – Premium-Spickzettel,08-KI/Codex-Premium-Spickzettel.md,698,18980,37f2c897317bd6a03fb54d7a9a9e2559d854e452f9b8987b2908e8a3d106bc45,,fertig
74,Führung & Kommunikation,Umgang mit Managern – Premium-Spickzettel,09-Fuehrung-Kommunikation/Umgang-mit-Managern-Premium-Spickzettel.md,537,13571,018c42cf259abfb3c04e1cce206a00f6825253fa62b71c09cde22b312f5fe9b8,,fertig
75,Führung & Kommunikation,Umgang mit Teamleitern – Premium-Spickzettel,09-Fuehrung-Kommunikation/Umgang-mit-Teamleitern-Premium-Spickzettel.md,506,14628,0d89a242718eb503148f8c93308012246521c9cd2624f0cc1c76c0c1c38eb000,,fertig
76,Sicherheit & PKI,HashiCorp Vault – Premium-Spickzettel,10-Sicherheit-PKI/HashiCorp-Vault-Premium-Spickzettel.md,644,15183,6a5f6304a6b01327d637b32868fc2fc63bb911c30ac118b5ef671f8a8f184ed6,Premium Spickzettel I – vollständig überarbeitet,fertig
77,Sicherheit & PKI,Keytool – Premium-Spickzettel für Java-Keystores,10-Sicherheit-PKI/Keytool-Premium-Spickzettel.md,531,12075,90a9f145622eda6b072de3cb17e4c6246ff1fd4f7243802eab06049fa9a8ff8c,Premium Spickzettel I – vollständig überarbeitet,fertig
78,Sicherheit & PKI,OpenBao – Premium-Spickzettel,10-Sicherheit-PKI/OpenBao-Premium-Spickzettel.md,460,10787,48ff34c68e4c7c650457a6cc7c5e66e7643b2fbd4944dc829a7cf84fd20b0680,Premium Spickzettel I – vollständig überarbeitet,fertig
79,Sicherheit & PKI,OpenSSL – Premium-Spickzettel,10-Sicherheit-PKI/OpenSSL-Premium-Spickzettel.md,571,14129,febb8b53d4011ea0a840ddc701624097a66383e3b0256fdf0cf44286d96472e4,Premium Spickzettel I – vollständig überarbeitet,fertig
80,Sicherheit & PKI,Thales Luna Network HSM A750 – Premium-Spickzettel,10-Sicherheit-PKI/Thales-Luna-Network-HSM-A750-Premium-Spickzettel.md,1414,42435,c4065b60b2fc42ab01d098ca24f594209d660ce9c0905c3c939a82203db29397,Premium Spickzettel II – Ergänzung 2.1.0,fertig
81,Wissensmanagement,Obsidian-Markdown – Premium-Spickzettel,11-Wissensmanagement/Obsidian-Markdown-Premium-Spickzettel.md,752,14806,8b0d55d811afcc38e6fc6e0358c5a5de9892b185a405e835e49200cac9d0e8c7,Premium Spickzettel I – vollständig überarbeitet,fertig
82,Hardware & Prozessoren,AMD-Prozessorhistorie – Premium-Spickzettel,12-Hardware-Prozessoren/AMD-Prozessorhistorie-Premium-Spickzettel.md,482,17731,253feebe9cd887d421bcf99fbd9d7d6f8d40cf03ea741d10677c96f17df00c1f,,fertig
83,Hardware & Prozessoren,Arm-Prozessorhistorie – Premium-Spickzettel,12-Hardware-Prozessoren/Arm-Prozessorhistorie-Premium-Spickzettel.md,565,19403,46bda953c5468a9600d5a357f47c16c4bcc5862d5795d98f4082ae3fe843e8e4,,fertig
84,Hardware & Prozessoren,CPU-Benchmarks und Vergleichbarkeit – Premium-Spickzettel,12-Hardware-Prozessoren/CPU-Benchmarks-und-Vergleichbarkeit-Premium-Spickzettel.md,828,21478,742ce722c5874da5c7e387ca9d176306e13153223c3290aebf60d58454644b79,,fertig
85,Hardware & Prozessoren,Intel-Prozessorhistorie – Premium-Spickzettel,12-Hardware-Prozessoren/Intel-Prozessorhistorie-Premium-Spickzettel.md,403,13165,34b0c5a7452ac6737adbfeb79e22c5a2270de20e2729d5159dfa148a3b63dd63,,fertig
86,Hardware & Prozessoren,"Prozessorhistorie Intel, AMD und Arm – Premium-Spickzettel",12-Hardware-Prozessoren/Prozessorhistorie-Intel-AMD-Arm-Premium-Spickzettel.md,609,22038,02a43e2c3699e4db24e724d67eb85d06850d40af2c7740c6a8138734613a7300,,fertig
